,PRODUK,Category_clean
0,wheat_for_infants_Bijirin_bersusu_untuk_bayi,Cereals_and_cereal_products
1,Mee_sua,Cereals_and_cereal_products
2,_Pop_corn__berperisa_durian,Cereals_and_cereal_products
3,Oat_dalam_tin,Cereals_and_cereal_products
4,Tepung_kastad,Cereals_and_cereal_products
5,Mee_laksa_kering,Cereals_and_cereal_products
6,Snek_jagung_berperisa_coklat,Cereals_and_cereal_products
7,Jagung,Cereals_and_cereal_products
8,Mee_kering_segera,Cereals_and_cereal_products
9,Lo_see_fun,Cereals_and_cereal_products
10,Snek_mee_berperisa_ayam,Cereals_and_cereal_products
11,Dedak_halus,Cereals_and_cereal_products
12,Tepung_pulut,Cereals_and_cereal_products
13,Pulut_putih,Cereals_and_cereal_products
14,Beras__parboiled_,Cereals_and_cereal_products
15,Tepung_ubi_kayu,Starchy_roots_tubers_and_products
16,Tepung_gandum,Cereals_and_cereal_products
17,Bubur_ikan_segera,Cereals_and_cereal_products
18,Ubi_keladi_Cina,Starchy_roots_tubers_and_products
19,Nasi,Cereals_and_cereal_products
20,Ubi_keledek_kering,Starchy_roots_tubers_and_products
21,Ubi_kentang,Starchy_roots_tubers_and_products
22,Sagu_biji_bijian,Starchy_roots_tubers_and_products
23,Gandum_biji,Cereals_and_cereal_products
24,Sukun,Starchy_roots_tubers_and_products
25,Kacang_hitam,Legumes_and_legume_products
26,Tepung_gandum_mil_penuh,Cereals_and_cereal_products
27,Kacang_merah,Legumes_and_legume_products
28,Appalam,Legumes_and_legume_products
29,Susu_kacang_soya_tanpa_gula,Legumes_and_legume_products
30,Tau_kua,Legumes_and_legume_products
31,Kacang_Cina,Legumes_and_legume_products
32,Tau_hoo_fah_tanpa_gula,Legumes_and_legume_products
33,Ngor_hiong_tau_kua,Legumes_and_legume_products
34,Tau_hoo,Legumes_and_legume_products
35,Kacang_Brazil,Nuts_seeds_and_products
36,Biji_gajus,Nuts_seeds_and_products
37,Buah_badam,Nuts_seeds_and_products
38,Kacang_soya_hitam,Legumes_and_legume_products
39,Santan_kelapa,Nuts_seeds_and_products
40,viscous__Kicap_pekat,Legumes_and_legume_products
41,Mee_kacang_soya,Legumes_and_legume_products
42,Kelapa,Nuts_seeds_and_products
43,Isi_kelapa_tua,Nuts_seeds_and_products
44,Mentega_kacang,Nuts_seeds_and_products
45,cempedak__seed_Biji_cempedak,Nuts_seeds_and_products
46,Air_kelapa,Nuts_seeds_and_products
47,Biji_teratai,Nuts_seeds_and_products
48,Lobak_dijeruk,Vegetables_and_vegetable_products
49,Jeruk_bawang_merah,Vegetables_and_vegetable_products
50,Bunga_kobis,Vegetables_and_vegetable_products
51,Asparagus_dalam_tin,Vegetables_and_vegetable_products
52,Rebung_dijeruk,Vegetables_and_vegetable_products
53,Walnut_dried_Juglans_regia,Nuts_seeds_and_products
54,Rebung,Vegetables_and_vegetable_products
55,Lobak_merah,Vegetables_and_vegetable_products
56,Wong_nga_paak,Vegetables_and_vegetable_products
57,Kacang_buncis,Vegetables_and_vegetable_products
58,Hum_coy,Vegetables_and_vegetable_products
59,Akar_bit,Vegetables_and_vegetable_products
60,Brokoli,Vegetables_and_vegetable_products
61,Kadok,Vegetables_and_vegetable_products
62,Timun,Vegetables_and_vegetable_products
63,Cekur_manis,Vegetables_and_vegetable_products
64,Cemperai,Vegetables_and_vegetable_products
65,Cili_padi,Vegetables_and_vegetable_products
66,Lada_hijau,Vegetables_and_vegetable_products
67,Ketola_ular,Vegetables_and_vegetable_products
68,Bawang_putih,Vegetables_and_vegetable_products
69,Pegaga,Vegetables_and_vegetable_products
70,Tai_suen,Vegetables_and_vegetable_products
71,Mengkudu,Vegetables_and_vegetable_products
72,Kai_lan_coy,Vegetables_and_vegetable_products
73,Akar_teratai,Vegetables_and_vegetable_products
74,Ketola_segi,Vegetables_and_vegetable_products
75,Kesom,Vegetables_and_vegetable_products
76,Kacang_pea_segar,Vegetables_and_vegetable_products
77,Kai_coy,Vegetables_and_vegetable_products
78,Hum_kai_coy,Vegetables_and_vegetable_products
79,Cendawan_tiram_segar,Vegetables_and_vegetable_products
80,Gelong_pasir,Vegetables_and_vegetable_products
81,Pegaga_gajah,Vegetables_and_vegetable_products
82,Daun_Bawang,Vegetables_and_vegetable_products
83,Jantung_pisang,Vegetables_and_vegetable_products
84,Kacang_pea_hijau_dalam_tin,Vegetables_and_vegetable_products
85,Bayam_putih,Vegetables_and_vegetable_products
86,Pucuk_ubi_keledek,Vegetables_and_vegetable_products
87,Tomato,Vegetables_and_vegetable_products
88,Remayong,Vegetables_and_vegetable_products
89,Hai_tai,Vegetables_and_vegetable_products
90,Bayam_duri,Vegetables_and_vegetable_products
91,Ulam_raja,Vegetables_and_vegetable_products
92,Pisang_brangan,Fruits_and_fruit_products
93,Epal_hijau,Fruits_and_fruit_products
94,Sup_tomato_dalam_tin,Vegetables_and_vegetable_products
95,Jus_tomato_dalam_tin,Vegetables_and_vegetable_products
96,Apokat,Fruits_and_fruit_products
97,Pisang_kari,Fruits_and_fruit_products
98,Pisang_tanduk,Fruits_and_fruit_products
99,Pisang_mas,Fruits_and_fruit_products
100,Duku,Fruits_and_fruit_products
101,Buah_nona,Fruits_and_fruit_products
102,Kundang,Fruits_and_fruit_products
103,Cempedak,Fruits_and_fruit_products
104,Lempuk,Fruits_and_fruit_products
105,Jambu_batu,Fruits_and_fruit_products
106,Buah_anggur,Fruits_and_fruit_products
107,Limau_manis,Fruits_and_fruit_products
108,Mata_kucing,Fruits_and_fruit_products
