,RM,,PREMIS,NAMA,LOKASI,NEGERI
SAWI (SEIKAT/BUNDLE),0.40,250 G,PASAR RAYA / SUPERMARKET,BILLION SHOPPING CENTRE,SEBERANG JAYA,PENANG
EPAL MERAH RED DELICIOUS (SAIZ M),0.59,1 BIJI,HYPERMARKET,GIANT,BANTING ,SELANGOR
BAWANG KECIL MERAH ROSE IMPORT (INDIA),1.90,1 KG,PASAR RAYA / SUPERMARKET,ECONSAVE,KLUANG,JOHOR
AYAM BERSIH - STANDARD,4.49,1 KG,PASAR RAYA / SUPERMARKET,SABASUN,KUALA TERENGGANU,TERENGGANU
IKAN KEMBUNG (ANTARA 7 HINGGA 10 EKOR SEKILOGRAM),6.00,2 KG,PASAR BASAH,PASAR AM KUDAT,KUDAT,SABAH
SARDIN CAP AYAM (SOS TOMATO),6.59,425 G,HYPERMARKET,GIANT HYPERMARKET,TAMPOI,JOHOR
NESTLE CERELAC BERAS MERAH & SUSU - TIN,8.99,350 G,PASAR RAYA / SUPERMARKET,FAMILY STORE,SEREMBAN,NEGERI SEMBILAN
MILO (PAKET) - 1KG,14.99,1 KG,PASAR RAYA / SUPERMARKET,PASARAYA TF VALUE MART,KUALA LIPIS,PAHANG
MINYAK MASAK TULEN CAP SERI MURNI,17.99,5 KG,PASAR RAYA / SUPERMARKET,PASARAYA ECONJAYA,KUALA KRAI,KELANTAN
DAGING LEMBU TEMPATAN (BAHAGIAN 1 DAGING PAHA (KECUALI BATANG PINANG - TENDERLOIN),18.90,1 KG,PASAR RAYA / SUPERMARKET,G - MART SUPERMARKET (SAJ HEN FUNG),SEMPORNA,SABAH
DUMEX DUGRO 1 - 3 (RASA ASLI) (PAKET),21.45,900 G,PASAR RAYA / SUPERMARKET,GM RETAIL & WHOLESALE (SP) SDN. BHD. (G MART),SUNGAI PETANI,KEDAH
BERAS CAP RAMBUTAN (SST 5%),22.99,10 KG,HYPERMARKET,TESCO,KULIM,KEDAH
ANGGUR MERAH BERBIJI,6.90,1 KG,HYPERMARKET,AEON BIG,WANGSA MAJU,KUALA LUMPUR
ANGGUR MERAH BERBIJI,6.90,1 KG,HYPERMARKET,AEON BIG,MID VALLEY CITY,KUALA LUMPUR
ANGGUR MERAH BERBIJI,6.90,1 KG,HYPERMARKET,AEON BIG,BANDAR BARU SRI PETALING,KUALA LUMPUR
ANGGUR MERAH BERBIJI,6.99,1 KG,PASAR RAYA / SUPERMARKET,THE STORE,BANDAR BARU SRI PETALING,KUALA LUMPUR
ANGGUR MERAH BERBIJI,6.99,1 KG,PASAR RAYA / SUPERMARKET,GIANT SUPERMARKET,JALAN KLANG LAMA,KUALA LUMPUR
ANGGUR MERAH BERBIJI,6.99,1 KG,PASAR RAYA / SUPERMARKET,GIANT SUPERMARKET,SETAPAK,KUALA LUMPUR
ANGGUR MERAH BERBIJI,6.99,1 KG,PASAR RAYA / SUPERMARKET,TMC,BANGSAR,KUALA LUMPUR
ANGGUR MERAH BERBIJI,6.99,1 KG,PASAR RAYA / SUPERMARKET,GIANT SUPERMARKET,KEPONG,KUALA LUMPUR
ANGGUR MERAH BERBIJI,6.99,1 KG,PASAR RAYA / SUPERMARKET,GIANT SUPERMARKET,TAMAN DESA PETALING,KUALA LUMPUR
ANGGUR MERAH BERBIJI,6.99,1 KG,HYPERMARKET,GIANT SUPERMARKET,SETAPAK ,KUALA LUMPUR
ANGGUR MERAH BERBIJI,7.50,1 KG,HYPERMARKET,GIANT SUPERMARKET,TAMAN CONNAUGHT CHERAS,KUALA LUMPUR
ANGGUR MERAH BERBIJI,7.50,1 KG,PASAR RAYA / SUPERMARKET,GIANT SUPERMARKET,TAMAN SEGAR CHERAS,KUALA LUMPUR
ANGGUR MERAH BERBIJI,7.99,1 KG,PASAR RAYA / SUPERMARKET,NSK,JALAN KUCHAI LAMA,KUALA LUMPUR
ANGGUR MERAH BERBIJI,7.99,1 KG,PASAR RAYA / SUPERMARKET,NSK,TAMAN MALURI CHERAS,KUALA LUMPUR
ANGGUR MERAH BERBIJI,8.50,1 KG,PASAR RAYA / SUPERMARKET,PASARAYA TS MEGA,BATU 3,KUALA LUMPUR
ANGGUR MERAH BERBIJI,8.90,1 KG,PASAR RAYA / SUPERMARKET,PASARAYA ONG TAI KIM,SENTUL,KUALA LUMPUR
ANGGUR MERAH BERBIJI,8.99,1 KG,HYPERMARKET,TESCO EXTRA,TAMAN MIDAH CHERAS,KUALA LUMPUR
ANGGUR MERAH BERBIJI,8.99,1 KG,HYPERMARKET,TESCO EXTRA,JALAN IPOH,KUALA LUMPUR
ANGGUR MERAH BERBIJI,8.99,1 KG,HYPERMARKET,TESCO,BANDAR MANJALARA,KUALA LUMPUR
ANGGUR MERAH BERBIJI,9.00,1 KG,PASAR BASAH,PASAR HARIAN SELAYANG,SELAYANG,KUALA LUMPUR
ANGGUR MERAH BERBIJI,9.99,1 KG,PASAR RAYA / SUPERMARKET,THE STORE,PUDU,KUALA LUMPUR
ANGGUR MERAH BERBIJI,9.99,1 KG,PASAR RAYA / SUPERMARKET,PASARAYA ONG TAI KIM,WANGSA MAJU,KUALA LUMPUR
ANGGUR MERAH BERBIJI,9.99,1 KG,PASAR RAYA / SUPERMARKET,SEGI FRESH,TAMAN SHAMELIN PERKASA CHERAS,KUALA LUMPUR
ANGGUR MERAH BERBIJI,9.99,1 KG,PASAR RAYA / SUPERMARKET,THE STORE,TAMAN MELATI SETAPAK,KUALA LUMPUR
ANGGUR MERAH BERBIJI,10.00,1 KG,PASAR BASAH,PASAR CHOW KIT,CHOW KIT,KUALA LUMPUR
ANGGUR MERAH BERBIJI,10.99,1 KG,PASAR RAYA / SUPERMARKET,PASARAYA HERO,BANDAR SRI PERMAISURI,KUALA LUMPUR
ANGGUR MERAH BERBIJI,10.99,1 KG,PASAR RAYA / SUPERMARKET,CHECKERS HYPERMARKET,TAMAN SRI SENTOSA,KUALA LUMPUR
ANGGUR MERAH BERBIJI,10.99,1 KG,PASAR RAYA / SUPERMARKET,PASARAYA HERO,JALAN IMBI,KUALA LUMPUR
ANGGUR MERAH BERBIJI,12.00,1 KG,PASAR BASAH,PASAR PUDU,PUDU,KUALA LUMPUR
ANGGUR MERAH BERBIJI,12.00,1 KG,PASAR BASAH,PASAR KERAMAT,KG. DATO' KERAMAT,KUALA LUMPUR
ANGGUR MERAH BERBIJI,12.00,1 KG,PASAR RAYA / SUPERMARKET,PASARAYA STAR GROCER,BANDAR TUN RAZAK,KUALA LUMPUR
ANGGUR MERAH BERBIJI,13.99,1 KG,PASAR RAYA / SUPERMARKET,CHECKERS CASH & CARRY,BATU 3 1/2,KUALA LUMPUR
ANGGUR MERAH BERBIJI,13.99,1 KG,PASAR RAYA / SUPERMARKET,MY MYDIN,DANAU SAUJANA SETAPAK,KUALA LUMPUR
ANGGUR MERAH BERBIJI,26.00,1 KG,PASAR BASAH,PASAR BESAR TAMAN TUN DR ISMAIL,TAMAN TUN DR ISMAIL,KUALA LUMPUR
AYAM BELANDA IMPORT,22.90,1 KG,HYPERMARKET,AEON BIG,MID VALLEY CITY,KUALA LUMPUR
AYAM BELANDA IMPORT,22.90,1 KG,PASAR RAYA / SUPERMARKET,COLD STORAGE ,AMPANG,KUALA LUMPUR
AYAM BELANDA IMPORT,28.90,1 KG,PASAR RAYA / SUPERMARKET,HOCK CHOON SUPERMARKET,AMPANG,KUALA LUMPUR
AYAM BELANDA IMPORT,28.90,1 KG,PASAR RAYA / SUPERMARKET,JAYA GROCER,JALAN TUN RAZAK ,KUALA LUMPUR
AYAM BELANDA IMPORT,28.90,1 KG,PASAR RAYA / SUPERMARKET,JAYA GROCER,MID VALLEY CITY ,KUALA LUMPUR
AYAM BELANDA IMPORT,28.90,1 KG,PASAR RAYA / SUPERMARKET,JAYA GROCER,JALAN KLANG LAMA,KUALA LUMPUR
AYAM BELANDA IMPORT,33.90,1 KG,PASAR RAYA / SUPERMARKET,VILLAGE GROCER,KERINCI,KUALA LUMPUR
AYAM BERSIH - STANDARD,4.89,1 KG,PASAR RAYA / SUPERMARKET,MY MYDIN,SETAPAK,KUALA LUMPUR
AYAM BERSIH - STANDARD,4.99,1 KG,PASAR RAYA / SUPERMARKET,PASARAYA ONG TAI KIM,WANGSA MAJU,KUALA LUMPUR
AYAM BERSIH - STANDARD,5.10,1 KG,PASAR RAYA / SUPERMARKET,PASARAYA HERO,SETIAWANGSA,KUALA LUMPUR
AYAM BERSIH - STANDARD,5.10,1 KG,PASAR RAYA / SUPERMARKET,HERO MARKET FRESH & EASY,TAMAN TUN DR ISMAIL,KUALA LUMPUR
AYAM BERSIH - STANDARD,5.10,1 KG,PASAR RAYA / SUPERMARKET,PASARAYA HERO,JALAN IMBI,KUALA LUMPUR
