BIL      ,LONGITUD,LATITUD,"KOD FASILITI
","NAMA
","ALAMAT 
",POSKOD           ,LOKASI                             ,PEJABAT KESIHATAN DAERAH,"BANDAR
",DAERAH           ,"NEGERI
",PURATA BEBAN KERJA SEHARI,"JENIS KLINIK (BERDASARKAN PURATA BEBAN KERJA SEHARI)                                                                                                                                 KK1 = >800, KK2 = 500-800, KK3 = 300-500, KK4 =150 -300, KK5 = 100-150, KK6 = 50-100, KK7 = <50",NO TELEFON                          ,NO FAX             ,VAKSIN BCG (Tuberculosis),VAKSIN HEP B (Hepatitis B),"VAKSIN DTaP-Hib/IPV (Difteria, Tetanus, Pertusis, Hemophilus Influenza B, Polio)","VAKSIN MMR (Measles, Mumps, Rubella)",VAKSIN JE (Japaneese Encephalitis),VAKSIN Measles
,,,,,,,,,,,,,,,,,,,,,
1,100.230520,6.514870,21-09010004,KK BESERI,"KM 10, JALAN KAKI BUKIT",02400,LUAR BANDAR,PKD KANGAR,BERSERI,KANGAR,PERLIS,279,KK4,04-9381355,04-9381355,Ada,Ada,Ada,Ada,Tiada,Tiada
2,100.273540,6.465500,21-09010005,KK KAMPUNG GIAL,"KAMPUNG GIAL, MATA AIR",02500,LUAR BANDAR,PKD KANGAR,KANGAR,KANGAR,PERLIS,170,KK4,04-9861177,04-9774517 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
3,100.190590,6.439560,21-09010006,KK KANGAR,JALAN KOLAM,01000,BANDAR,PKD KANGAR,KANGAR,KANGAR,PERLIS,655,KK2,04-9778333,04-9779019,Ada,Ada,Ada,Ada,Tiada,Tiada
4,100.134362,6.397391,21-09010007,KK KUALA PERLIS,"BATU 7, JALAN KUALA PERLIS, KUALA PERLIS",02000,LUAR BANDAR,PKD KANGAR,KANGAR,KANGAR,PERLIS,381,KK3,04-9854259,04-9853719,Ada,Ada,Ada,Ada,Tiada,Tiada
5,100.315860,6.656890,21-09010008,KK PADANG BESAR,"KM 37, JALAN PADANG BESAR",02100,LUAR BANDAR,PKD KANGAR,PADANG BESAR,KANGAR,PERLIS,151,KK4,04-9490333,04-9493562,Ada,Ada,Ada,Ada,Tiada,Tiada
6,100.191470,6.336570,21-09010009,KK SIMPANG EMPAT,SIMPANG EMPAT,02700,LUAR BANDAR,PKD KANGAR,SIMPANG EMPAT,KANGAR,PERLIS,238,KK4,04-9807214,04-9805959,Ada,Ada,Ada,Ada,Tiada,Tiada
7,100.270510,6.432700,21-09010045,KK ARAU,ARAU,02600,BANDAR,PKD KANGAR,ARAU,KANGAR,PERLIS,309,KK3,04-9861218,04-9869080,Ada,Ada,Ada,Ada,Tiada,Tiada
8,100.195881,6.262644,21-09010046,KK KUALA SANGLANG,KUALA SANGLANG,02800,LUAR BANDAR,PKD KANGAR,KUALA SANGLANG,KANGAR,PERLIS,124,KK5,04-7940216,04-7942999,Ada,Ada,Ada,Ada,Tiada,Tiada
9,100.211600,6.642560,21-09010047,KK KAKI BUKIT,KAKI BUKIT,02200,LUAR BANDAR,PKD KANGAR,KANGAR,KANGAR,PERLIS,101,KK5,04-9456237,04-9456994,Ada,Ada,Ada,Ada,Tiada,Tiada
